Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
Cantaloro Rosato 2018,Italy,Toscana,Avignonesi,3.6,31,9.65,2018
281 Rosé 2019,France,Provence,Minuty,4.5,31,52.89,2019
Bardolino Chiaretto 2019,Italy,Bardolino Chiaretto,Gorgo,3.8,31,7.3,2019
Mediodía Rosado 2019,Spain,Navarra,Inurrieta,4.1,31,5.3,2019
Zweigelt Federspiel Terrassen Rosé 2018,Austria,Wachau,Domäne Wachau,2.7,31,9.5,2018
Rosé de Léoube 2019,France,Côtes de Provence,Château Léoube,3.8,31,16.9,2019
Kleine Rust Pinotage Rosé 2018,South Africa,Stellenbosch,Stellenrust,3.8,31,7.79,2018
Rosé 2015,Germany,Pfalz,Philipp Kuhn,3.5,32,10.01,2015
Aire de Protos Rosé 2019,Spain,Ribera del Duero,Protos,3.7,33,8.99,2019
Mount Hermon Rosé 2018,Israel,Galilee,Hermon,3.2,33,11.7,2018
Solaz Rosado 2018,Spain,Castilla,Osborne,3.8,33,5.81,2018
Pinot Grigio Ramato 2019,Italy,Friuli-Venezia Giulia,Attems,3.8,33,12.53,2019
Rosé 2017,Portugal,Douro,Quinta dos Avidagos,3.8,33,6.43,2017
L'or du Sud Syrah Rosé 2017,France,Pays d'Oc,Foncalieu,3.4,33,5.32,2017
Rosé 2018,Germany,Pfalz,Philipp Kuhn,3.8,33,8.84,2018
Viña Esmeralda Rosado 2019,Spain,Catalunya,Torres,3.8,33,7.4,2019
Vignes de Nicole Rosé 2019,France,Pézenas,Paul Mas,3.4,33,7.29,2019
Der Elefant im Porzellanladen 2019,Austria,Burgenland,Strehn,4.3,34,18.64,2019
Coteaux Bourguignons Rosé 2018,France,Coteaux Bourguignons,Louis Jadot,3.6,34,13.57,2018
Fronton Rosé 2018,France,Fronton,Château Bellevue La Forét,3.6,34,7.44,2018
Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine l'Ile Porquerolles,3.6,35,17.5,2018
Mas Donis Rosat Montsant 2019,Spain,Montsant,Capçanes,3.6,35,6.75,2019
Cuvée Speciale des Vignettes Rosé 2016,France,Provence,Clos Cibonne,4.2,36,22.9,2016
Bardolino Chiaretto Classico 2018,Italy,Bardolino Classico,Villabella,3.8,36,7.18,2018
Garrus Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.8,36,109.0,2018
Tavel Beaurevoir 2018,France,Tavel,M. Chapoutier,4.1,36,15.5,2018
Pinot Noir Rosé Trocken 2019,Germany,Rheinhessen,Seehof,3.8,36,7.5,2019
Memòries de Biniagual Rosado 2018,Spain,Binissalem-Mallorca,Biniagual,3.8,36,12.57,2018
L'Origine Côtes de Provence Rosé 2019,France,Côtes de Provence,Château de l'Aumerade,3.6,37,10.99,2019
Bardolino Chiaretto 2017,Italy,Bardolino,Delibori,3.7,37,6.2,2017
Alghero Rosato 2019,Italy,Alghero,Sella & Mosca,3.4,37,6.69,2019
Haedus Côtes de Provence Rosé 2019,France,Provence,Ferry Lacombe,3.8,38,9.7,2019
Pinot Noir Rosé Trocken 2019,Germany,Rheingau,Balthasar Ress,3.4,38,7.9,2019
Merlot Rosé Trocken 2018,Germany,Pfalz,Weingut Metzger,3.7,38,6.77,2018
La Source Gabriel Côtes de Provence Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.9,38,8.55,2019
Piemonte Lavignone Rosato 2019,Italy,Piemonte,Pico Maccario,3.9,38,10.5,2019
Classic Rosé Blend 2018,South Africa,Paarl,Roodeberg,3.5,38,8.32,2018
Blush Karasakiz 2018,Turkey,Thrace,Suvla,3.7,39,12.0,2018
Portillo Rosé Malbec 2019,Argentina,Tunuyán,Salentein,3.6,39,7.81,2019
Passivento Nero d'Avola Rosato 2018,Italy,Terre Siciliane,Barone Montalto,4.0,39,8.29,2018
Pink 2019,Germany,Pfalz,Weingut Metzger,3.6,39,6.29,2019
Pierre Jourdan Tranquille Blush 2019,South Africa,Franschhoek,Haute Cabrière,3.8,40,7.95,2019
Cerasuolo Montepulciano d'Abruzzo Rosé 2018,Italy,Cerasuolo d'Abruzzo,Valentini,4.1,40,92.15,2018
Clos Mireille Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,40,29.15,2019
Cipresseto Rosato Toscana 2019,Italy,Toscana,Santa Cristina,3.6,40,11.02,2019
Grenache Noir - Viognier 2018,South Africa,Walker Bay,Creation,3.8,40,12.81,2018
Lagrein Rosé 2018,Italy,Vigneti delle Dolomiti,Alois Lageder,3.5,40,9.9,2018
1701 Rosé 2018,France,Languedoc,Domaine Montrose,4.1,40,25.21,2018
Rosé 2018,South Africa,Western Cape,Laborie,3.9,40,6.78,2018
Rosado (Clarete) 2019,Spain,Ribera del Duero,Protos,3.4,40,6.7,2019
Bella Rosa-ae Rosé 2019,Italy,Cerasuolo d'Abruzzo,Torre dei Beati,3.8,41,14.73,2019
Rosa Rosé 2018,Italy,Venezia,Borgo Molino,3.6,41,10.24,2018
Starlette Shiraz Rosé 2019,South Africa,Franschhoek,Allée Bleue,3.8,41,8.95,2019
Amstramgram Grande Cuvée Cérès 2019,France,Languedoc,Calmel & Joseph,3.6,42,7.75,2019
Langhe Rosato Diecigradi 2017,Italy,Langhe,Broccardo,3.9,42,8.6,2017
Château La Rouvière Rosé 2015,France,Bandol,Domaines Bunan,4.0,42,34.9,2015
Vignealte Bardolino Classico Chiaretto 2019,Italy,Bardolino Classico,Zeni,3.8,42,7.9,2019
Petula Rosé 2019,France,Luberon,Marrenon,3.6,42,8.95,2019
Rioja Rosado 2019,Spain,Rioja,Baron de Ley,3.3,43,5.45,2019
Zweigelt Langenloiser Rosé 2019,Austria,Niederösterreich,Weingut Bründlmayer,3.9,44,8.98,2019
Discover Rosé 2019,South Africa,Western Cape,Spier,3.7,44,5.5,2019
Lacrimarosa Irpinia Rosato 2019,Italy,Irpinia,Mastroberardino,3.4,45,11.15,2019
Le Champ des Grillons Rosé 2019,France,Côtes de Thongue,La Croix Belle,3.8,45,7.95,2019
Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine Pinchinat,4.1,45,10.65,2019
Blush Karasakiz 2017,Turkey,Thrace,Suvla,3.4,46,12.0,2017
Belleruche Côtes du Rhône Rosé 2019,France,Côtes-du-Rhône,M. Chapoutier,3.6,46,9.69,2019
Alta Colección Rosado Mendoza 2019,Argentina,Uco Valley,Bodega Piedra Negra,3.8,46,8.72,2019
Regaleali Le Rosè 2019,Italy,Terre Siciliane,Tasca d'Almerita,3.7,47,7.66,2019
Rosat 2018,Spain,Catalunya,Segura Viudas,3.3,47,6.99,2018
Viñas Viejas Rosado 2017,Spain,Castilla y León,Marqués de Riscal,4.1,47,33.99,2017
Tempranillo Rosado 2019,Spain,Valdepeñas,Viña Albali,3.5,47,4.15,2019
Kòmaros Rosato 2019,Italy,Marche,Garofoli,3.9,48,6.9,2019
Il Rosato 2019,Italy,Vino d'Italia,Nervi,3.8,48,14.45,2019
Rosé 2019,Italy,Toscana,Brancaia,3.7,48,11.0,2019
Rosat 2017,Spain,Pla de Bages,Abadal,3.6,49,7.88,2017
Côtes de Provence Rosé 2017,France,Côtes de Provence,Domaine de La Rouillère,3.8,49,26.22,2017
Côtes de Provence Rosé 2018,France,Côtes de Provence,Château des Sarrins,4.0,49,13.0,2018
Dão Colheita Seleccionada Rose 2019,Portugal,Dão,Cabriz,3.7,49,7.27,2019
Suivez-Moi-Jeune-Homme Coteaux Varois en Provence 2019,France,Coteaux Varois en Provence,Château des Annibals,3.8,50,11.8,2019
Sant'Emiliano Chiaretto Rosé 2018,Italy,Garda,Pratello,3.7,50,8.75,2018
Otazu Tempranillo Rosé 2018,Spain,Navarra,Bodega Otazu,3.7,51,8.45,2018
Villa la Vie en Rosé 2019,France,Comté Tolosan,Lionel Osmin & Cie,3.6,51,7.3,2019
Rosé de Diel Trocken 2018,Germany,Nahe,Diel,3.8,51,13.48,2018
Rosammuri Rosato 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.5,51,7.7,2018
Rosado 2018,Spain,Binissalem-Mallorca,Macià Batle,3.5,52,11.8,2018
Côtes de Provence Rosé 2019,France,Côtes de Provence,Le Paradou,4.1,52,16.55,2019
Grenache Noir - Viognier 2019,South Africa,Walker Bay,Creation,3.5,52,11.99,2019
Clos du Temple 2018,France,Languedoc,Gérard Bertrand,4.5,52,249.0,2018
Terre Lontane Rosato 2018,Italy,Val di Neto,Librandi,3.6,52,7.71,2018
Sangre de Toro Rosado 2018,Spain,Catalunya,Torres,3.2,53,8.89,2018
Spatburgunder Rosé Trocken 2013,Germany,Pfalz,Reichsrat von Buhl,3.8,53,10.69,2013
Grand Ferrage Côtes de Provence 2019,France,Côtes de Provence,Mathilde Chapoutier,4.0,53,13.0,2019
Bardolino Chiaretto 2018,Italy,Bardolino,Sartori,3.3,53,8.67,2018
Rosé 2017,Italy,Sicilia,Stemmari,3.5,54,5.84,2017
Guarda Rios Rosé 2018,Portugal,Ribatejo,Vale d'Algares,3.3,54,5.85,2018
Corail Côtes de Provence 2019,France,Côtes de Provence,Château de Roquefort,3.9,54,12.9,2019
De Casta Rosado 2019,Spain,Catalunya,Torres,3.4,54,5.59,2019
Côtes de Provence Rosé 2019,France,Côtes de Provence,Hecht & Bannier,4.0,54,12.9,2019
Rose de Petro Vaselo Pinot Noir 2017,Romania,Recas,Petro Vaselo,3.8,54,11.9,2017
Grenache Rosado 2018,Spain,La Mancha,Costa Azul,3.2,54,5.16,2018
Chiaretto Garda Classico 2018,Italy,Garda,Bulgarini,3.9,55,8.68,2018
Fossa Granara Bardolino Chiaretto 2018,Italy,Bardolino Chiaretto,Tommasi,3.7,55,8.4,2018
Bardolino Chiaretto 2012,Italy,Bardolino,Corte Giara,3.4,55,6.95,2012
RosesRoses 2019,Italy,Veneto,Ottella,3.9,55,8.9,2019
Rosé Gran Cuvée Especial 2018,Spain,Navarra,Pago de Cirsus,3.6,56,9.9,2018
Nero d'Avola Rosato 2017,Italy,Terre Siciliane,Barone Montalto,3.2,56,5.1,2017
Rosato 2018,Italy,Terre Siciliane,Feudo Arancio,3.6,56,6.5,2018
Cabernet Sauvignon Rosado 2019,Spain,Somontano,Enate,3.9,56,8.04,2019
Zinfandel White 2016,United States,California,Canyon Road,3.3,56,5.95,2016
Cerasuolo d'Abruzzo Rosé (Unico) 2019,Italy,Cerasuolo d'Abruzzo,Tenuta Ulisse,3.6,57,8.9,2019
Château Vignelaure Rosé 2019,France,Coteaux d'Aix-en-Provence,Château Vignelaure,3.7,57,13.55,2019
L'Origine Côtes de Provence Rosé 2018,France,Côtes de Provence,Château de l'Aumerade,3.3,57,11.02,2018
Tavel 2019,France,Tavel,E. Guigal,3.7,57,11.6,2019
V Rosado 2018,Spain,Rioja,Bodegas Faustino,3.3,57,5.49,2018
Alìe Rosé Toscana 2019,Italy,Toscana,Tenuta Ammiraglia,4.1,57,12.12,2019
Rosé 2018,South Africa,Stellenbosch,Welmoed,3.2,58,7.36,2018
Twenty Twelve Pink 2018,Spain,Plà i Llevant,Es Fangar,3.7,58,35.1,2018
GB Spätburgunder Rosé 2019,Germany,Rheingau,Georg Breuer,3.7,59,9.26,2019
Rioja Tempranillo Rosado 2018,Spain,Rioja,Antaño,3.1,59,4.25,2018
Les Clans Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.4,59,54.0,2018
Merlot Rosé 2018,France,Pays d'Oc,Fortant,3.4,59,6.55,2018
Rosat 2018,Spain,Pla de Bages,Abadal,3.3,60,7.31,2018
Pinot Grigio Blush 2019,Italy,delle Venezie,Cielo e Terra,4.1,60,6.16,2019
Bandol Rosé 2019,France,Bandol,La Suffrene,3.8,60,15.5,2019
Domaene Gobelsburg Rosé 2019,Austria,Niederösterreich,Schloss Gobelsburg,3.7,61,7.96,2019
Château de Selle Rosé (Coeur de Grain) 2019,France,Côtes de Provence,Domaines Ott,4.2,61,35.9,2019
Zinfandel White 2018,United States,California,Canyon Road,3.4,62,6.21,2018
Blanc de Noir 2018,South Africa,Constantia,Buitenverwachting,3.6,62,8.56,2018
Rosé vom Spätburgunder 2018,Germany,Baden,Salwey,3.9,63,9.95,2018
Kleine Rust Pinotage Rosé 2019,South Africa,Stellenbosch,Stellenrust,3.7,63,5.76,2019
Tellus Rosé di Syrah 2016,Italy,Lazio,Falesco,3.6,64,11.82,2016
Garnacha Rosado 2018,Spain,Navarra,Bodegas Príncipe de Viana,3.4,64,5.9,2018
Lumare 2019,Italy,Calabria,Tenuta Iuzzolini,4.1,65,8.72,2019
Rosé La Chevalière 2019,France,Provence,Laroche,3.7,66,7.89,2019
Mythique Languedoc Rosé 2017,France,Languedoc,Val d'Orbieu,3.5,66,6.86,2017
The Long Walk Pinotage Rosé 2019,South Africa,Western Cape,Footprint,3.6,67,5.95,2019
Rosa dei Masi delle Venezie 2019,Italy,delle Venezie,Masi,3.6,68,10.99,2019
Harmonie De Gascogne Rosé 2019,France,Côtes de Gascogne,Domaine de Pellehaut,4.0,69,5.79,2019
Château Romassan Rosé (Coeur de Grain) 2019,France,Bandol,Domaines Ott,4.2,69,29.15,2019
Pinot Noir Trocken Rosé 2019,Germany,Rheingau,Künstler,3.8,69,12.19,2019
White Zinfandel 2018,United States,California,Barefoot,3.3,70,6.0,2018
Bardolino Chiaretto 2019,Italy,Bardolino,Zenato,3.4,70,5.45,2019
Rosato di Toscana Sbrancato 2016,Italy,Toscana,Tenuta Il Poggione,3.7,71,10.99,2016
Rosado 2019,Spain,Rioja,Cune (CVNE),3.3,71,7.6,2019
Château de Berne Rosé 2018,France,Côtes de Provence,Château de Berne,4.0,72,20.96,2018
Côtes de Provence Rosé 2019,France,Côtes de Provence,Marchandise,4.2,72,11.6,2019
Rosé 2019,Chile,Colchagua Valley,Los Vascos,3.9,72,8.94,2019
Pétale de Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.6,73,15.9,2019
Sancerre Rosé 2014,France,Sancerre,Pascal Jolivet,3.8,73,18.75,2014
Malbec Rosé 2018,Argentina,Mendoza,Andeluna,3.7,73,7.5,2018
Santa Digna Reserva Cabernet Sauvignon Rosé 2019,Chile,Central Valley,Miguel Torres,3.5,74,6.79,2019
Bardolino Chiaretto Classico 2019,Italy,Bardolino,Lenotti,3.8,76,4.83,2019
Bandol Rosé 2017,France,Bandol,Château Pradeaux,4.1,77,19.95,2017
Tavel Rosé 2019,France,Tavel,Château d'Aqueria,3.8,77,15.42,2019
Rosato 2019,Italy,Terre Siciliane,Feudo Arancio,3.8,78,6.3,2019
Infinito Rosé 2018,Italy,Bardolino Chiaretto,Santi,3.8,78,6.8,2018
Rosado 2019,Spain,Rioja Alavesa,El Coto,3.5,79,4.9,2019
Tellus Rosé di Syrah 2017,Italy,Lazio,Falesco,3.7,80,7.9,2017
Rosè 2017,Romania,Murfatlar,Alira,3.8,81,10.5,2017
Belvento Velarosa Toscana (I Vini Del Mare) 2018,Italy,Toscana,Petra,3.5,81,11.92,2018
Bordeaux Rosé 2018,France,Bordeaux,Mouton Cadet,3.3,82,9.6,2018
Albia Toscana Rosé 2019,Italy,Toscana,Ricasoli,3.6,82,8.9,2019
Sancerre Rosé 2018,France,Sancerre,Michel Thomas & Fils,3.8,82,14.72,2018
Luces Tempranillo - Merlot - Syrah Rosado 2019,Spain,Somontano,Viñas del Vero,3.5,82,5.79,2019
Rosato 2017,Italy,Salento,Cantina Rosa del Golfo,3.6,82,12.9,2017
Rosé Fleuri 2019,France,Coteaux d'Aix-en-Provence,Château Barbebelle,3.9,83,8.9,2019
Côtes de Provence Rosé 2017,France,Côtes de Provence,Château des Sarrins,3.8,83,13.6,2017
Côtes de Provence Rosé 2016,France,Côtes de Provence,Domaine Pinchinat,3.7,83,13.3,2016
Amstramgram Grande Cuvée Cérès 2018,France,Languedoc,Calmel & Joseph,4.0,83,7.75,2018
Solidarity Rosé 2019,Spain,Cariñena,Bodegas Care,3.9,84,5.7,2019
Velue Rosé Cabernet 2018,Austria,Weinviertel,Johannes Zillinger,4.0,84,7.6,2018
El Viaje de Ramón Garnacha 2019,Spain,Rioja,Ramón Bilbao,3.7,86,6.75,2019
Bordeaux Rosé 2018,France,Bordeaux,Château Landonnet,3.2,87,8.78,2018
Mabilia Cirò Rosé 2018,Italy,Cirò,Ippolito 1845,3.7,87,9.5,2018
Brut Rosé (Chardonnay - Pinot Noir) 2014,South Africa,Robertson,Graham Beck,3.8,87,19.9,2014
Finca Wolffer Rosé 2019,Argentina,Mendoza,Wölffer Estate,3.9,89,14.9,2019
Conde de Valdemar Rosado 2018,Spain,Rioja,Bodegas Valdemar,3.7,89,5.8,2018
Héritage Côtes de Provence Rosé 2019,France,Provence,Estandon,3.7,90,9.85,2019
Le Rosé 2019,France,Pays d'Oc,Paul Mas,3.7,90,7.19,2019
Rosado (Tempranillo) 2018,Spain,La Mancha,Viña San Juan,3.7,91,5.75,2018
Bandol Rosé 2016,France,Bandol,Domaine de la Tour du Bon,3.7,92,38.01,2016
Rose de Nymphe Emue 2019,France,Minervois,Château Maris,3.9,95,8.72,2019
3055 Rosé 2018,Spain,Penedès,Jean Leon,3.8,95,13.37,2018
Clos Beylesse Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de l'Abbaye,4.3,96,45.0,2018
Rosé de Provence 2018,France,Coteaux Varois en Provence,Fortant,3.9,96,8.2,2018
Mas Donis Rosat Montsant 2018,Spain,Montsant,Capçanes,3.5,97,6.95,2018
Rosé Messwein 2018,Austria,Niederösterreich,Stift Gœttweig,3.9,97,9.9,2018
Kadette Pinotage Rosé 2019,South Africa,Stellenbosch,Kanonkop,3.5,98,7.9,2019
Grézan Expression Faugères Rosé 2017,France,Faugères,Famille Cros Pujol,3.7,99,9.95,2017
Rosé 2018,Austria,Niederösterreich,Loimer,3.6,99,8.24,2018
No. 6 Rosé 2018,France,Côtes de Gascogne,Uby,4.0,100,6.49,2018
Bardolino Chiaretto 2017,Italy,Bardolino Chiaretto,Gorgo,3.6,101,7.9,2017
Pitt Nat 2019,Austria,Neusiedlersee,Pittnauer,4.1,102,18.06,2019
Idea Rosa di Primitivo 2018,Italy,Veneto,Varvaglione,3.5,102,8.5,2018
Terroir du Trias Delille Vigneron Bandol Rosé 2018,France,Bandol,Domaine de Terrebrune,4.0,105,25.9,2018
Rosa & Dito Bobal 2019,Spain,Utiel-Requena,Coviñas,3.8,106,4.84,2019
Chardonnay - Pinot Noir 2019,South Africa,Western Cape,Leopard’s Leap,3.7,108,7.75,2019
Rioja Rosado 2018,Spain,Rioja,Baron de Ley,3.6,108,6.5,2018
Rosa 2018,Italy,Terre Siciliane,Corvo,3.5,108,7.08,2018
Hito Rosado 2018,Spain,Ribera del Duero,Cepa 21,3.7,109,7.7,2018
Centoviti Campania Rosato 2018,Italy,Campania,Nativ,4.0,113,11.5,2018
Rosé Saigner 2019,Germany,Pfalz,Schneider,3.9,115,12.0,2019
Blush Pinot Grigio delle Venezie 2018,Italy,delle Venezie,Sartori,3.9,115,8.33,2018
Bardolino Chiaretto 2019,Italy,Bardolino,Monte del Frá,3.8,119,6.69,2019
Les Clans Rosé 2017,France,Côtes de Provence,Château d'Esclans,4.3,119,62.54,2017
Rosé 2018,Portugal,Portalegre,Porta 6,3.5,120,9.12,2018
Rioja Rosado 2019,Spain,Rioja,Ramón Bilbao,3.5,121,7.88,2019
Rosato 2019,Italy,Terre Siciliane,Calalenta,4.0,121,9.49,2019
Cherub (Syrah) Rosé 2019,Chile,Colchagua Valley,Montes,3.7,122,8.49,2019
Rosado (Clarete) 2018,Spain,Ribera del Duero,Protos,3.4,123,7.9,2018
Rosé de Xinomavro 2018,Greece,Naoussa,Thymiopoulos,4.2,126,13.3,2018
Clair de Rose 2017,France,Pays d'Oc,Les Jamelles,3.4,127,7.66,2017
Ribera del Duero Rosae 2018,Spain,Ribera del Duero,Arzuaga,3.8,127,12.0,2018
Rosé 2019,South Africa,Western Cape,Nederburg,3.8,128,6.97,2019
Rioja Rosado 2019,Spain,Rioja,Marqués de Cáceres,3.8,132,7.99,2019
Regaleali Le Rosè 2018,Italy,Terre Siciliane,Tasca d'Almerita,4.0,134,7.75,2018
Iirrésistible Côtes de Provence Rosé 2018,France,Côtes de Provence,Domaine de la Croix,3.9,134,12.2,2018
Visione 2019,Italy,Irpinia,Feudi di San Gregorio,4.0,134,12.03,2019
Pinot Rosé 2019,New Zealand,Marlborough,The Ned,3.7,134,13.85,2019
Conde de Valdemar Rosado 2017,Spain,Rioja,Bodegas Valdemar,3.6,135,8.19,2017
Grenache Rosé 2018,United States,California,Gallo Family Vineyards,3.3,137,6.3,2018
Serra Lori Isola dei Nuraghi 2018,Italy,Isola dei Nuraghi,Argiolas,3.6,138,7.0,2018
3055 Rosé 2017,Spain,Penedès,Jean Leon,3.8,141,14.5,2017
Negroamaro Kreos 2018,Italy,Salento,Castello Monaci,3.6,141,7.4,2018
Romance Rosé 2019,France,Côtes de Provence,Château de Berne,4.0,142,9.26,2019
Cinsault 2018,France,Pays d'Oc,Les Jamelles,3.9,142,8.49,2018
Lumera 2019,Italy,Terre Siciliane,Donnafugata,3.8,143,8.15,2019
Bandol Rosé 2015,France,Bandol,Domaine de la Tour du Bon,3.8,143,16.47,2015
Chardonnay - Pinot Noir 2018,South Africa,Western Cape,Leopard’s Leap,3.6,143,7.77,2018
Il Chiaretto Valtènesi 2018,Italy,Valtenesi,Pasini San Giovanni,3.8,145,10.9,2018
Bandol Rosé 2017,France,Bandol,La Bastide Blanche,3.8,146,89.5,2017
Sancerre Rosé 2018,France,Sancerre,Pascal Jolivet,4.0,147,18.72,2018
12 e Mezzo del Salento Rosato 2018,Italy,Puglia,Varvaglione,3.8,148,7.4,2018
Bandol Rosé 2018,France,Bandol,Château de Pibarnon,4.0,149,22.79,2018
Garnacha Rosé 2017,Spain,Navarra,The Tapas Wine Collection,3.4,154,7.32,2017
Côtes de Gascogne Rosé 2019,France,Côtes de Gascogne,Horgelus,4.1,156,4.94,2019
Côtes de Provence Rosé 2019,France,Côtes de Provence,Château La Tour de l'Évêque,3.8,159,11.9,2019
Garnacha Rosado 2018,Spain,Navarra,Homenaje,3.1,159,5.23,2018
Tenuta Guado al Tasso Scalabrone Bolgheri Rosato 2019,Italy,Bolgheri,Antinori,3.8,160,14.89,2019
Tavel Rosé 2017,France,Tavel,Famille Perrin,3.4,162,13.9,2017
Aleatico Toscana Rosato 2018,Italy,Toscana,Fattoria Aldobrandesca,4.0,164,39.5,2018
Clarette Rosé Trocken 2019,Germany,Pfalz,Knipser,4.1,164,11.65,2019
Lumière de Provence Rosé 2019,France,Provence,Estandon,4.1,166,9.85,2019
Vetere Paestum Rosato 2019,Italy,Paestum,San Salvatore,4.1,166,19.37,2019
Rosé 2019,France,Côtes de Provence,Ultimate Provence,4.0,167,16.79,2019
Rosé 2019,France,Pays d'Oc,L'Ostal Cazes,3.7,168,7.49,2019
Coteaux Varois en Provence 2017,France,Coteaux Varois en Provence,Domaine de Cala,4.1,169,12.7,2017
